file,language,zero_inbound_static,runtime_unreached_static,in_duplicate_clone_block,decision,reason
backend/api/security_txt.py,python,1,1,0,review,Runtime-unreached static signal; needs manual validation before removal.
backend/api/test_support_api.py,python,1,1,1,keep,Test asset discovered by test runner; static inbound graph does not reflect test discovery.
backend/app/__init__.py,python,1,1,0,keep,Python package marker file; may be required for module/package behavior.
backend/config/governance.py,python,1,1,0,review,Runtime-unreached static signal; needs manual validation before removal.
backend/core/schemas/__init__.py,python,1,1,0,keep,Python package marker file; may be required for module/package behavior.
backend/core/validators/__init__.py,python,1,1,0,keep,Python package marker file; may be required for module/package behavior.
backend/db/__init__.py,python,1,1,0,keep,Python package marker file; may be required for module/package behavior.
backend/locustfile.py,python,1,1,0,review,Runtime-unreached static signal; needs manual validation before removal.
backend/middleware/__init__.py,python,1,1,0,keep,Python package marker file; may be required for module/package behavior.
backend/middleware/compression_middleware.py,python,1,1,0,review,Runtime-unreached static signal; needs manual validation before removal.
backend/middleware/input_sanitization.py,python,1,1,0,review,Runtime-unreached static signal; needs manual validation before removal.
backend/middleware/logging_middleware.py,python,1,1,0,review,Runtime-unreached static signal; needs manual validation before removal.
backend/middleware/rate_limit_middleware.py,python,1,1,0,review,Runtime-unreached static signal; needs manual validation before removal.
backend/middleware/request_id.py,python,1,1,0,review,Runtime-unreached static signal; needs manual validation before removal.
backend/middleware/request_size_limit.py,python,1,1,0,review,Runtime-unreached static signal; needs manual validation before removal.
backend/middleware/setup.py,python,1,1,0,review,Compatibility/deprecation bridge; remove only after confirming no legacy importers remain.
backend/models/__init__.py,python,1,1,0,keep,Python package marker file; may be required for module/package behavior.
backend/models/analytics.py,python,1,1,0,review,Runtime-unreached static signal; needs manual validation before removal.
backend/models/snapshot.py,python,1,1,0,review,Runtime-unreached static signal; needs manual validation before removal.
backend/models/sync.py,python,1,1,0,review,Runtime-unreached static signal; needs manual validation before removal.
backend/scripts/add_performance_indexes.py,python,1,1,0,review,"Operational script/utility; likely invoked manually, not by imports."
backend/scripts/add_test_items.py,python,1,1,0,review,"Operational script/utility; likely invoked manually, not by imports."
backend/scripts/barcode_analyzer.py,python,1,1,0,review,"Operational script/utility; likely invoked manually, not by imports."
backend/scripts/batch_condition_manager.py,python,1,1,0,review,"Operational script/utility; likely invoked manually, not by imports."
backend/scripts/check_barcode_lengths.py,python,1,1,0,review,"Operational script/utility; likely invoked manually, not by imports."
